case_index,H,D,B,num_segs,seg_lengths,rules,matched_prefix_arr,total_runs,passed,status,mare_min,mare_max,mere_min,mere_max,rmse_min,rmse_max
134,8,128,8,14,1600|8|9|6|13|8|9|14|10|13|9x2|12|1800;3200|8|7|6|9|12|6|7|11|13x2|15|13|1024;3200|8|6|3|6|5|15|9|40|14|12|10|9|1024;1600|8x2|41|7|13|9x2|10|5|12|13|10|1200;3200|8|15|12|5|8|12|6|9|8|15|10|6|1800;2000|8|14|5|11|14|10|15|19|25|3|5|13|1800;2400|8|15|8|10x2|13|3|5|12|3|12x2|1800;3200|8|5|7|5|14|8|12x2|14|7|11|12|1024,0|1|2x12,0x8,10,10,PASS,1.1601e+00,1.1601e+00,7.1315e-03,7.1315e-03,2.8253e-04,2.8253e-04
135,8,128,4,34,2000|8x2|14|15|13|6|14|22|5|9|35|5|7|13x2|14|4|8|4|10|37|7|32|6|12|6|9|6|12|7|15|11|1200;2400|8|6|13|7|5|6|15|9|6|13|3|4|5|12|37|8|7|6|10|15x2|8|6|8|6|5|32|13|43|8x2|15|1024;2400|8|9|15|5|11|7|6|11|41|9|10|15|13|9|12|13|10|30|14|6|12|10|11|9|14|8|14|11|8|7|9|12|1024;2400|8|11|14|12|14|10|13|8|5|11|5|7|10|17|12|15|9x2|6|3|12|8|7|10|14|12|15|6|7|6|5|8|1200,0|1|2x32,0x4,10,10,PASS,1.0569e+00,1.0569e+00,7.1893e-03,7.1893e-03,2.8979e-04,2.8979e-04
136,8,128,2,67,1600|8|15|6|15|11x2|10|6|7|8|9|10|8x2|18|15|43|13x3|15|9|6|9|6|13x2|15|9|5|13|5|10|2|10|9|15|13|5|14|5|15|7|6|9|5|43|10x2|44|6|26|12|13|3|13|15|14|8|11|10|11|9|14|10|1800;3200|8|7x2|5|6|12|14|8|13x2|47|10|5|8|5|15|5|12|11|13|8x4|10|9|8|10|17|9|11|5|2|3|10|15|5|14|5|6|8|13|4|14|15|11|10|9|13|14|5|15|9|11|46|2|14|21|8|2|7|13x2|6|11|1800,0|1|2x65,0x2,10,10,PASS,6.0117e-01,6.0117e-01,6.9978e-03,6.9978e-03,2.6225e-04,2.6225e-04
137,8,128,4,207,2000|8|13|10|5|3|5|6|13|8|4|5|14|7|5|15|6|7|14|6|14|9|11|13|15|10|11|7|14x2|5|7|10|14|15|10|11|10|6|5|11|5|15|13x2|10|13|9|12|32|14|15|12|13|6|15|10|13x2|11|10|5|8x2|15|11|12x2|8|13x2|9|7|14|6|8|13|12|13|12|8|6|11|10|11|12|10|14x2|12|9|6|10|8|5|14|11|13x2|14|13x2|9|10x2|11|3|15|12|7|9|7|6|7|9|11|9|12|15|10|7|11|6|11|9|10|4|14|7|5|8|12|37|15|7|10|5|13x2|9|2|8|13|12|15|10|11|12|7|5|7|9x2|10|5|10|12|10|11|9|7|13|15|6|11|8|6|9|15|11|10|8x2|6|12|6|13|9x2|10|5|15|7|14x2|7|4|12|5|11|15|9|41|15|14|12|6|15|5|3|15|10|13x2|10x2|1800;2000|8|4|10|15|9|15|7|5|10x2|7|13|15|10x2|8|10|11|5|7|9|8x2|15|14|10|9|5x2|14|15x2|12|5|12|7|13|11|7|8x2|12|10|5|10|6|8|11|15|5|13|9|6|5x2|7x2|15|20|14|4|15|20|5|9|39|10|15|11|10|3|6|12|8|9|13|12|4|12|11|39|13|14|11|12|6|5x3|10|8|13|7x2|14|5|11x2|6|7|14|5|9|8|6|9|5|6|5|11|10|12|13|4|5|9|12|6|11|50|8|9|12|7|14|8|5|8|12|2|9|4|16|5|13|10|7x2|15x2|13|7|11|7|2|15|8|9|7|14|12|13x2|5|9|14|13|7|11|10|14|9|12|15|6|14|6|10|7|5|15x2|12|8|12|15|11|8|6|5|10|14x2|8|12|6|15|5x2|13|5|11|7|6x2|9|10|8|6|13|10|7|11|5|7|2048;2400|8|12|13|5|13|12|7|14|19|6|7|15|10|11|12|13|6|13|14|8|9|14x2|15x2|10|6|13|14|6|2|15|8|10|20|9|6|13|9|5|8|14|9|7|15|10|11|5|7|4|3|14x2|5|7|6|11|14|15|26|9|7x3|6|26|10|15|4|10|14|15|12|10|8|7|10|7x2|5|8|7|13|14|5|12|6|11|14|5|13|11|5|10|4|11|5|9x2|6|14|12|13x2|14|12|7|11|7|5|8|14|7|8|5|50|9|10|15|5|13|5|10|13|5|8|12|13|3|6|10|45|40|7|6|14|9|14|26|13|12|6|11|6|5x3|9|11|10|9|11|13|11|4|14|11|12|15|13|23|14|9|12|11|8|14|5|46|14|12x2|10|13|14|8|10|7|2|10|9|11|8|14|12|6x2|20|7|14|37|7|13x2|14|7|8|7|9|10|11|25|10|31|26|1024;2400|8|15|12|8|10|15|13|9|8|12|5|15x2|12|6|14|12|10|6|5|11x2|8x2|6|8|10|12|13|12|6|14x2|8|13|10|6|9|6|8x2|3|15|14|2|13x2|12|14|15|14|8|15|6x2|9|7|14|7|9|6|7|11|5|8|14|11|5|14|9|11|8|14|10|14|8x2|10|8|3|10|2|14|10|11|8x2|14|15|13|6|3|12|15|13|24|9|12|6|14|6|13|10|13|5|15|7|9|5|7|6|14|5|13|15|12|9|13|7|9|14|7|5|6|8x2|6|11|5|14|5|9|10|20|11|9|10|33|10|15|14|10|11|14|6|7|6|8|9|6|14x2|15|14|8|11|8|5|12x2|9|11|6|10|5|14|10|9|8|6|5|14|2|7|9|12|15|14|13|7|13|15|9|33|12|10|3|11x2|13|7|14|8|9|14|10x2|7|4|15|5|9x2|15|9|1800,0|1|2x205,0x4,10,10,PASS,1.3246e+00,1.3246e+00,6.8168e-03,6.8168e-03,2.4245e-04,2.4245e-04
138,8,128,1,49,2000|8|13|4|13|7|6|5|20|6|12|11|12|14|12|6|47|11|10|14|9|6|14|9|13x2|7x2|13|5|11|7|39|14|3|13|7|3|15x2|6|5x2|12|11x2|15|8|1800,0|1|2x47,0,10,10,PASS,7.2931e-01,7.2931e-01,7.1165e-03,7.1165e-03,2.7816e-04,2.7816e-04
139,8,128,4,376,1600|8|9|7|6|13|14|9|3|13x2|15|7|5|22|9|7x2|5|7|15|10|8|10|14|7|12|11|9|13|15|11|12|8|11|7|2|15|6|11|13|22|7x2|9|13|11|14|12|10|13|7|8|9|14|10|11x2|9|13|14|7|5x2|42|8|7|48|6x2|12|10|4|5|9|34|10|2|9|13|7|13|11|15x2|6|10|13|14|10|15|8|5|6|14|7|6|9|7|10|12|2|14|5|11|6|8|15x2|42|10|7|6|13|5|10|8|5|11|9|15x2|4|8|7|8|11|10|7|10|12|14|5|11|10|15|8|15|12|15|14|11x2|12|14|10|7|12|15|29|11|4|11|29|10|11|10|12|9x2|13|9|3|10|13|39|35|15|18|11|2|12|13|14x2|12x2|6|7|8|11x2|15x2|2|13|5|8|10|5|8|11|12|10|12|4|6|14|15|12x2|15|14|11|22|2|13|11|7|12|8|7|9|11|15|7|15|7|3|33|5|13|14|12|10|5x2|8x3|7|3|14|13|22|15|13|12|13|11|10|2|13|15|9|11|10|12|5|11|8|15|8|13|11|8|40|20|5|12x2|11|9|11|14|9x2|12|15|3|9|8|9|13|5|8|6|11|14|13|12|3|7|13|15x2|6|13|14|15|36|15x2|10x2|14|47|15|9|7|15|5|7|8|14x2|9|12|2|9|7|8x2|14|10|13|21|10|8|12|9|10|14|6|30|10|9|4|6|9|10|6|7x2|8|5|6|13|8|13|5|13|5|12|5|6|4|3|5|49|10|9|11|14|15|14|12|7|4|6x2|2|6|29|12|5|42|13|5|14|15|11x2|9x2|1024;1600|8x2|34|13|15|14|5x2|13|12|6|8|14|9|7|14|12x2|5|15|10|9|7|12|11|13|2|10|14x2|5|13|14|6|5|10|3|11|14|13|6|14|10|8|9|15|7|13|8|7|14|10|15|12|9|11|12|6|13|12|14|9|2|5|41|17|6|12|10|12|15x2|5|10|12|8|13|5|9|5|14|8|38|14x2|12|7|15|9|12|8|10|13|7x2|13|5|46|11|8|9|14x3|9|6|5|12|26|7|14|11|25|14|10|40|4|10|14|6x2|7|9|2|11|5|8|11|14|9|11|12|11|15|5|14|11|8|13|6|5x4|11|8|7|27|6|8|13|6|13|11|9|4|32|11|12|11|7|9|37|8x2|9|13|15|5|12|8|12|4|13|2|7|10|11|4|9x2|7|10|11|13|10|11|15|8|3|15|7x2|10|5|14|12|14|6x3|8|13|8x2|15|35|8|10|14|7|6|9|5|11|8|5|7x3|2|9|12|13|12|11|9|13|4|8|5|7|13|2|10|9|11x2|13|41|12|15|5|11|9|14|12|10|7x2|11|8|10|11|10|9|50|5|8|15|6|11|10|11|8|13|7|5|47|7|10|8|10|9|33|5|9|4|14|8|35|6|12|15|7|50|14|7|5|7x2|9|10|11|7|15x2|5|6|7|9x2|10|9|14|10|12|8|6|14|11|8|6|10|14|8x2|6|14|15|11|10|49|10|3|9|35|3|10|13|12|9|11|10|15|7|20|7|15x2|5|12|5|14|13|14|8|7|11|13|8|14|15|10|13x2|11|8|50|6|9x2|12|6|7|8|10|47|12|5|4|7|14x2|1800;2400|8|11|14|6|5|6|14x2|10|13|9|15|6|7x2|15|12|5|10|4|8|9|12|7|11|10|14|9|6|8|6|9|11|7|6|11|7|5x2|12x2|7|15|7|9|12|10|11|7|14x2|5|13|23|6|11|15|10|14x2|11|7|15|12|5|12|15|8|15|14|10|22|8|5|12|30|10|14|6|13|11|13|9|11|6|15|3|10|14|10x2|13|8|5|12|15|9|13|12x2|14|11x2|14|10|8|11|6|10|11|2|14|11|15|11|15|12|5|9|5|10x2|9|14|15|11|8|9|12|10|9|10|7|10|11|5|12x2|9|13|9|6|7|13x2|7|4|13|10x3|13|15|5|11|10|12|14|29|6|2|12|6|7|8|7|30|11x2|8|11|13|9x2|40|4|10|9|15|10|8|47|8|15|9|4|5|9|14|10|5|14|7|12|3|6|9|11|14|9x2|15|12|14|11|2|6|14|9|11x2|8|9|14|13|6|9x2|11|14|12|7|12|7|15|50|9|14|7|8|12|8x2|7|13|15|9|6|10|7|12|6|7|10|13|11|12x2|9|14|5|6|12|9|12|9|10|14|8|12|31|11|8|7|4|13|10|13|8|6|14|11|2|8|11|12|13|8x2|10|9|5|12|14|5|15|12|8|7|8|5|15|12|14|8|14|15|6x2|12|10|13|10|7|11|9|7|8|10|9|11|9|7|10|3|5|10|11|8|10|9|12|32|14|12|6|11|7|12|7|39|3|11|14|8|11|13|5|8|15|13|8|14|11|13|11|9|2|11|10|5|30|11|8|15|13|15|12|5|10|6|15|6x4|10|13|5|7|11|47|13|12|2048;2400|8|37|10|13|7|8|7|12|10x2|12|6|14|12|11|12|15|5|7|9|15|13|15|11|2|9|13|2|5|8|13|11|10|8x2|18|14|11|8|7|8x2|11|15|7|13|15|12x2|14|13|6|37|3|8|9|6|11|13|11|9|6|13|4|13|9|8|12|6x2|4|3|5|15|8|12|6|7|10|15|6|12|11|13|7|14|32|9x2|50|15|6|12|7|8|3|13|5|15|5|11|13x3|10|5|7x2|13|12|9|14|15|6|15|6|12x2|9|14|7|12|11|13|2|12|21|12|5|11|7|5x2|4|8|3|13|12|7|6|8|10|7x2|11|6|5|14|7|6|8|13|8|13|14|5|11|15|14|8|15|12|11|14|15|11|13|9|13|9|15|12|7|6|11|5|11|8|14|12x2|15|14|7|8|12|22|7|37|14|9|5|14|15|8|7|12|15|16|9|10|4|12x2|8|11|12|5x3|10|15|7|14|13|7|11|7|10|5|11|10|4|15|10|2|5|6|13|11|12|36|47|5|6|11|6|15|10|11|12|5|9|15|11|6|14|13|2|12|10|6|12|14|8|11|6|13|14|8|6|14|15|7|15|10|6x2|33|11|10|9|10|5|14|10|3|9|13|8|15|5|7|15x2|11|6|15|14|12|14|9|5|6|8|5|10|37|8|6|5|3|5|15|8x2|11|12x2|13|15|12x2|5|10|12|13|15|9|3|10|7|11|9|5|11|15|4|11|27|31|12|8|13|11|6x2|9|14|38|6|9|15|14|11|7|6|31|15|14|9|21|5|10|14x2|5x2|14|13x2|14x2|11|8|14|9|10|12|36|23|13|14|9|1024,0|1|2x374,0x4,10,10,PASS,7.3555e-01,7.3555e-01,6.5895e-03,6.5895e-03,2.2088e-04,2.2088e-04
140,8,128,2,90,1600|8|5|8|12|11|8|11|13|9|38|10|5|13|9|7|10|11|12|5|7|13|8|10|11|9|7|8|5|11|13|11|10|11|7|6|8|7x3|14x2|6|10|12|10|7|11|14|13x2|12|14|13|10|9|14|17|14|45|7|12|10|7|28|14|9|2|9|6|9|23|15|9|15|7|6|31|10|5x2|13|10x2|4|10|8x2|12|1024;2400|8|7|6|12|7|2|9|13|11|8|14x2|11|8|14x3|8|4|11|12|14|6|13|7|15|5|13|15x2|12|8|12x2|11x2|10|12|14|6|7|14|10|8|10|8|10|14|8|4|14|8|10|14|11|7|32|4|7|6|11|5|14x2|24|8|12|6|8x2|13|10|12|13|8|7x2|14|10|14|12|11|14|8|9|6|12|14|1800,0|1|2x88,0x2,10,10,PASS,9.3303e-01,9.3303e-01,7.0733e-03,7.0733e-03,2.7372e-04,2.7372e-04
141,8,128,1,338,2400|8|13|14|6|10|8|13|15|8|6|14|15|7|12|8|14|7|9|10|13|7|10|11|8|12|8|12|13|8|12|6|7|14|42|14|10|12|8|14|15|5|12x2|11|10|6|15|11|12|5|7|15|7|14|7|5|12|7|3|12|11|12|9|8|14|7|11|14|16|5|9|11|23|5|2|7|12x2|5|9|14|6|14|9|13|6|13x3|10x2|3|12|13|15|9|7|9|15|11|9|15|7|9|11|12|6|7|11|15|10|6|10|8|7|14|12|10|7|12|14|13|7|15|5x2|13|11|13|12|15|13|6|14x2|10|35|11|8|14|4|11|6|8|10|12x2|2|6|10|15|6|8|5x2|11|9|15|7|8|10|9|15|13|8|7|4|6x2|13x2|5|14|9|5|14|13|15|5|4|8|29|9|15|9|6|14|10|4|5|8x2|12|5|13|15|13x2|6|38|14x2|13|14|2|15|8|5|10|9|6|12|15|9|8|5x2|14|6x2|13|15x2|14|7|10|15|6|33|14x2|15|5|10|6|13|4|2|12|10|6|9|10|15|4|5|4|9|15|6|14x2|13|14|10|20|10|5|10|6|5|6|14x2|26|12|9|5|32|10|12|8|12|8|44|9|7|14|7|15x2|13|8|15|13x2|6|8|15|8|23|8|5|13|8|14|6|5|11|5x2|12x2|2|12|35|13|12|9|6|15|10|8|11|8|10|5|11|14|10|5|41|14|15|7|39|8|6|7|5|4|19|6|10|3|5|1200,0|1|2x336,0,10,10,PASS,8.0711e-01,8.0711e-01,6.6300e-03,6.6300e-03,2.2508e-04,2.2508e-04
142,8,128,8,25,2000|8x2|9|8|2|7|13|4|10|6|10|13|9|6x2|14|15|6|2|10|9|12|14|1024;1600|8|7|8|15|30|10|6|9|12|6x2|14|9|13|6|14|9|10x2|14|8|11|9|1024;2400|8|13|6|2|13|12|27|14|15|7|14|10|11|5x2|9|7|10|47|14|7|10|12|2048;2000|8|9|37|15|7|34|2|8x2|2|12|15|11|4|36|8|15|8|5|10x2|11|6|1200;1600|8x2|13|25|13|5|9|4|5|9|11|14|7|6|11|10|9|11|23|11|10|5|38|1024;2000|8|14|9|12|15|9|5|11|8|11|10|14|10|3|10|11x2|14|47|15|7|12|14|1024;2400|8|49|8|10|7|8|9|11|14|8|7|12|7x2|5x2|8|13|14|11|7|10|8|2048;1600|8|11x2|10|9|15|5|11|15|10|8|12|14|5|7x2|11|8|6|15|6|5|13|2048,0|1|2x23,0x8,10,10,PASS,8.8998e-01,8.8998e-01,7.2323e-03,7.2323e-03,2.9636e-04,2.9636e-04
143,8,128,4,512,3200|8|7|6|11|6|9x2|11|7|8|6|14|13x2|9|15|3|8|7|13|11|14|5|7|5x2|6x2|13|30|11|5|7|17|8|11|7|6|12|14|15|12|15x2|12|7x2|26|6|9|5|14|12|15|6|49|9|7|10|9|13|12|8|11x2|14|8|6|11|6|10|11|6|12|2|11|5|13|10|8|15|13|11|5|13|5|6|14|15|10|5|13|12|7|10|14|8|13|5|3|5|20|13|14|6|12|5|6|10|11|10|7|5|13|14|15|10|13|9x3|6|12|7|15|28|8|15|9|7|15|7|13|6|8|12|6|27|9|11|14|6|10|8|6|14|5|14|5|9|14|8|11|6|13|9|13|48|6|9|33|13|11|36|10|9|8|14|8|12|6x2|8|5|6|15|6|14|8|12|15|8|14|9x2|12x2|9|5|24|12|5|12x2|14|9|13|9x2|12|7|9|15|11|13|11|9|7|13|5|11|6|14|15|7|13|6|9|8|13|15|7|11|13|7|3|14|31|8|13|11|14x2|9|13|12|5x2|9|6|11|5|10|6|14x2|7|14|6|28|10|5|12|8x2|14|13|19|29|8|5|24|13|6|10|7|44|13|8|11|9|15|5|6|3|8|6|12|14|23x2|9|15|7|24|15|34|10|12x2|6|14|10x2|5|12|11|8|10|12|14|7|8|6|10|8|9|10|14|9|13|14|6|13|49|9|11|2|8|14|15|14|11|9|4|14|6|15|6|12|6|15|9|15|9|14|8|13|12|6|14|11|8|14|11|5|11|9|14|13|9|12x2|13|6|17|13|6|32|10|7|14|13|10|13|6x2|12|14|5|8|6|13|8|10|14|12|40|13|14|5|15|9|12x2|14|15|2|7x2|10|6|8|11|10|8|12|5|11|15|6|8|14|5|15|14|15|6|12x2|14x2|8|6|10|13x2|14|7|10|9|11|5|11|14|10|14|13|10|5|13x2|3|10|6|13|11|7x2|12|25|3|8|11|12|8x2|10|9x2|13|12|15|11|3|14|13|32|10|11|10|9|8|9|10|13|14|13x2|15|11|7|11|14|5|12|15|14|33|14|12|15|5|4|2|9|12|14|11|13|6|24|8|9|12|27|6|8|11|12|6|14|12|13|11|14|7|11|12|11|2048;2400|8|14|11|15|8|10|7|8|12|30|7|9|11|13|12|42|10|16|14|9|7|8|4|6|9|8|10|6|17|14|13x2|11|7|6|11|6|9|7|14|5|12|5|11|10|8|10|9|14|11|12x2|10|11|13|9|7|11|14|7|13|3|14|5|35|10|5|11|15|14|7|10x2|8|5|9|5|8|9|11|50|11|10|5|29|8|6|13|14|8|10|5x2|13|11x2|13|10|8|3|11x3|13|10|8|9|10x2|15|5|9|12|5|14|5|9|15|13|8|6|15|13|5|8|34|7x2|15x2|14|10|6|15x2|14|2|6|9|8x2|13|8|3|9|5|7|12|6|15|6|7x2|15|6|13|12|6|14|11|7|2|7|10|11x4|14|28|13|10|7|13|14|8|11|3|5|15|6|14|5|9|12x2|11|5|2|10|15|6x2|13|12|15|6|14|12|4|11|13|7|9|8|12|14|13|11|7|5|4|12|13|10|35|6|9|8|49|11x2|14|9|5|10|14|11|10|6|11|14|13|8|4|6|12|10|12|14|35|8|9x2|5|14|22|6|14|5|12x2|14|22|4|6|5|15|9|15|21|15|14|12|15x2|10|5|10|6|10|15|13|5|8|7|6|5|45|12|10|5|12|11|8|15|9|7|10|6|4|15|5x2|12|13|12|7|8|10|6|12|15|8|4|5|9|6|43|6|21|6|11|15|12|8|3|14|8|9|10|7|47|10|8|15|5|12|10|8|12|4|7|13|14|7|5|12|6|10|9|15x2|10|14|8|13|15|12|5|7|9|23|11|14|5|6|13|5|9|14|10x2|4|11|7|13|9|10|14|8|13|8|14|12|6|12|5|6|14|5|10|14|11|7|5|15|9|14|8|11|10|9|8|9|6x2|14|5|10|5|10|4|15|8|7|8|12|15|6|11|15|5|11|8|12|7|11|7|5|6|9|14|9|8|11|13|14|11|5|6|14|11|13|11|8|13|7|6|5|11|47|6|10|7|11|12|10|6|15|9x4|8|15|12|3|7|8|6|8|7|15|5|14x3|13|14|15|7|5|12|5|6|12|7|12|14x2|7|13|49|13|11x3|9|11x2|15x2|13|6|47|12|14|6|14|8|15|5|9|5|49|4|13|5|12|1800;1600|8|10|8|7|10|43|11|14|10|8|10|14|12|15|14|10|14|8|14|15x2|12|3|11|13|11|3|15|6|10|13|7|6|13|27|12|14|13|3|13|8|14|5|12|11|14|11|9|6|14x2|15|8x2|6x2|7|15|5|8|6|5|7|10|5|11|12|11|13|12|14|12|15|10|13|5|15|13|9|8|10|6|9|46|13|14|12|14|9|42|7|12|5|6|7|10|12|8|11|10|9|2|10|9|14|11|5|16|13|25|12|10|2|12|11|6|10|5|8x2|10|7|9|15|10|11|9x2|5|14|13|9|15x2|6|13|5|15|2|8|6|15|11|6|7|14|15|9|6|11|2|7x2|3|14|6|7|14|12|9|26|8|7|9|13|6|4x2|13|11|8|13|6|8|10|8|13x2|4|12|9|8|15|12|7|8|10|14|8|14|8|10|2|8|9x2|11|12|14|15|7|12|15|12|6|13|9|6|7|9x3|7|14|9|10|6|12|13|15|11|4|7|9|11|10|8|11|8|9|15|13|5|10|9|8|15|14|5|14|6|9|10|8x2|5|13|6x2|14|5|10|7|5|15|14|8|5|7|6x2|7|15|7|5|9|6|10|13|4|35|6|7|15|10|5|6|5|11|7|9|8|11|14x2|8|5|7|11|6|14|9|14|10|11|9|11|5x2|12x2|7|13|9|8|5|3|29|9|12|15|12|11|9|11|7|10|3|10|2|7|13|9|12|15|9|7|9|14|5|7|10|15|10|11|3|9|5|9x2|13|7|3|12|8|7|11|19|9|12|6|7|14|10|7|14|12|15|4|46|15|46|8|9x2|6|12|6|12|13|7|15|8|7|9x2|12|15|9|12|6|11|9|13|5|7|15|5x2|9|11x2|8|9|8|48|5|11|8|7|14|15x3|7|14|11|2|6|2|4|8|6|11|7|11|10|8|2|3|8|7|15|9|11|6|10|40|11|9|11|6|8|20|13|9|5|6|8|11|9|7|13|10|8|18|6x2|14|11|12|8|9|3|8|12|11|35|14|15|11|7|12|5|14x2|2|9|3|13|9x2|45|5|6|12|13|6|15|5|12x2|4|6|13|3|15|6|14|7x2|13|14|8|3|12|14|8|13|7|13|9|3|7|11|10|11|15|7|13|1800;2400|8|10|9|10|11|5|9|8|7|8|9|5|10|8|15|12|8|15|10|11|12x2|5|12|2|7|15|10x2|14x2|5|15|10|8x2|5|15|7|15x2|12|8|15|13|6|12|5|8|12|5|10|3|45|10x2|2|10|11|13|6|45|6|7|11|15|11|13|4|11|10|15|6x2|2|4|9|20|13|9|4|5|13|6|8|12|8|7|14|5|8|10x2|3|6|4|13|10|13|11|9|10|7|14|7|10|7|14x2|3|13|9|15|35|8|11|15|12|15|6|10|11|22|5x2|12|7|15|22|10|12|21|8|2|12|7|13|14|6|10|12|15|14|9|14|12x2|15|12|7x2|14|6|15|5|27|12|10|14|10|15|9|13x4|5|14|10|8|14|7|12|6|3|13|5|12|14|12|8|7x2|5|13|12|13|6|9|14|7|10|43|6|9|15|10|11|12|11|6|15x2|24|7|4|43|11|10x3|9|10|8x2|5|9|15|5|11|13|15x2|14|5|12|7|12|15x2|10|14|9|15|11|5|26|13|7|14x2|10|13|10x2|7|12|14|7|27|7|9|10|11|10x2|11x2|5|22|7|6|12|3|13|7|6|9|13|5|15|12|14|9x2|14|6|12|10|7|12|14|12|15x2|9|8|15|14|5|9|13|6|7|14|6|14|15|5|10|5|13|8|13|10|15|39|15|12|6|8|14|11|12|5|10|14|6|9|5|12|15|9|7|9x2|7|9|8|2|7|6|15|11|5|45|37|9|12|10|12|9|3|8|3|27|14|8|44|7|4|6|13x2|14x2|15|5|11|8|14|8|13|10|7|6|5|8|11|9|24|9|14|2|11|7|13|11|10|14|5|6|13|9|2|9|7|15|6|12|9|7|5x2|14|13|7|12x2|14|13|15|12|8x2|5|14|15|13x2|5|8|11|2|9|15|12|7|2|4|13|5|13|12|3|15|5|12|30|7|8|15|9|5|2|11|9|10|8|5x3|12|11|9|6|7|13|14x2|5|3|14|10|13|5|7|12|2|5|12|8|50|11|7|13|12|8|12|10|6|14|13|12|47|14|7|10|11|12|11|31|13|11|12|6|39|14|7|11|10|12|2|10|15|10|7|28|7|8|23|5|13|9|6|3|11|6|12|14|1024,0|1|2x510,0x4,10,10,PASS,9.6544e-01,9.6544e-01,6.4058e-03,6.4058e-03,2.0186e-04,2.0186e-04
144,8,64,1,4,1600|8|200|1200,0|1|2x2,0,500,500,PASS,4.0384e-01,1.3638e+00,7.2245e-03,7.4456e-03,3.1565e-04,3.2632e-04
145,8,64,2,4,1600|8|200|1200;1700|8|300|1024,0|1|2x2,0x2,10,10,PASS,6.2089e-01,6.2089e-01,7.3145e-03,7.3145e-03,3.1826e-04,3.1826e-04
146,8,64,4,4,1600|8|200|1200;1700|8|300|1024;1680|8|200|1280;2000|8|700|2048,0|1|2x2,0x4,10,10,PASS,7.4199e-01,7.4199e-01,7.1818e-03,7.1818e-03,3.0231e-04,3.0231e-04
147,8,64,8,4,2200|8|200|1024;1700|8|100|1100;2440|8|200|2048;1600|8|600|1900;3300|8|200|1300;1700|8|300|2100;1780|8|700|1200;2048|8|500|1800,0|1|2x2,0x8,10,10,PASS,8.3246e-01,8.3246e-01,7.1286e-03,7.1286e-03,2.8781e-04,2.8781e-04
148,8,64,1,4,1600|8|10|1200,0|1|2x2,0,10,10,PASS,8.4464e-01,8.4464e-01,7.4257e-03,7.4257e-03,3.2530e-04,3.2530e-04
149,8,64,2,5,1600|8x2|12|1200;1700|8|6|15|1024,0|1|2x3,0x2,10,10,PASS,6.3514e-01,6.3514e-01,7.3885e-03,7.3885e-03,3.2995e-04,3.2995e-04
150,8,64,4,7,1600|8|5|6|7|8|1200;1700|8|10|12|13|15|1024;1680|8|10|12|13|15|1280;2000|8|13|14|15x2|2048,0|1|2x5,0x4,10,10,PASS,6.5202e-01,6.5202e-01,7.2390e-03,7.2390e-03,3.1406e-04,3.1406e-04
151,8,64,8,11,2200|8|5x8|1024;1700|8|5x7|10|1100;2440|8|5x7|12|2048;1600|8|5|15|5x6|1900;3300|8|5|10x2|5x5|1300;1700|8|15x2|5x6|2100;1780|8|15x3|5x5|1200;2048|8|15x4|5x4|1800,0|1|2x9,0x8,10,10,PASS,9.2490e-01,9.2490e-01,7.2042e-03,7.2042e-03,2.9749e-04,2.9749e-04
152,8,64,1,4,1600|8|5|1200,0|1|2x2,0,10,10,PASS,7.2923e-01,7.2923e-01,7.3436e-03,7.3436e-03,3.2499e-04,3.2499e-04
153,8,64,1,5,1600|8|5x2|1200,0|1|2x3,0,10,10,PASS,6.6635e-01,6.6635e-01,7.3715e-03,7.3715e-03,3.3164e-04,3.3164e-04
154,8,64,1,7,1600|8|5x4|1200,0|1|2x5,0,10,10,PASS,7.3279e-01,7.3279e-01,7.4026e-03,7.4026e-03,3.3304e-04,3.3304e-04
155,8,64,1,10,1600|8|5x7|1200,0|1|2x8,0,10,10,PASS,6.6553e-01,6.6553e-01,7.3727e-03,7.3727e-03,3.2578e-04,3.2578e-04
156,8,64,1,11,1600|8|5x8|1200,0|1|2x9,0,10,10,PASS,8.6055e-01,8.6055e-01,7.3930e-03,7.3930e-03,3.2941e-04,3.2941e-04
157,8,64,1,18,1600|8|5x15|1200,0|1|2x16,0,10,10,PASS,9.3643e-01,9.3643e-01,7.4601e-03,7.4601e-03,3.2846e-04,3.2846e-04
158,8,64,1,19,1600|8|5x16|1200,0|1|2x17,0,10,10,PASS,7.9079e-01,7.9079e-01,7.2660e-03,7.2660e-03,3.2484e-04,3.2484e-04
159,8,64,1,28,1600|8|5x25|1200,0|1|2x26,0,10,10,PASS,4.7701e-01,4.7701e-01,7.3675e-03,7.3675e-03,3.2404e-04,3.2404e-04
160,8,64,1,35,1600|8|5x32|1200,0|1|2x33,0,10,10,PASS,6.6092e-01,6.6092e-01,7.3060e-03,7.3060e-03,3.2409e-04,3.2409e-04
161,8,64,1,46,1600|8|5x43|1200,0|1|2x44,0,10,10,PASS,5.2403e-01,5.2403e-01,7.3634e-03,7.3634e-03,3.1802e-04,3.1802e-04
162,8,64,1,66,1600|8|5x63|1200,0|1|2x64,0,10,10,PASS,6.1349e-01,6.1349e-01,7.3451e-03,7.3451e-03,3.1749e-04,3.1749e-04
163,8,64,1,67,1600|8|5x64|1200,0|1|2x65,0,10,10,PASS,8.1144e-01,8.1144e-01,7.2567e-03,7.2567e-03,3.1809e-04,3.1809e-04
